Year when drafted,Round drafted,Overall pick,Name,Position,Organization,school,age when drafted ,Birth date,Bats,Throws ,education type,Drafted before,Minor-League level started at,if the player appeared in rookie leagues,Number of games played in Rookie Leagues,Number of plate appearances in Rookie Leagues,If the player appeared in Short-Season-A,Number of games played in Short-Season-A,Number of plate appearances in Short-Season-A,If the player appeared in Low-A ,Number of games played in Low-A ,Number of plate appearances in Low-A,If the player appeared in High-A,Number of games played in High-A,Number of plate appearances in High-A,If the player appeared in Double-A,Number of games played in Double-A,Number of plate appearances in Double-A ,If the player appeared in Triple-A,"Number of games played in Triple-A	",Number of plate appearances in Triple-A ,If the player appeared in the Major Leagues,Number of seasons spent in the minor leagues    ,Total number of games played in the minor leagues,Total number of plate appearances in the minor leagues  ,Total games played in Short-Season and lower levels,Total plate appearances in Short-Season and lower levels,Total games played in Low-A and lower levels,Total plate appearances in Low-A and lower levels,Total games played in High-A and lower levels,Total plate appearances in High-A and lower levels,"Total games played in Double-A and lower levels	",Total plate appearances in Double-A and lower levels,"Total games played in Triple-A and lower levels	",Total plate appearances in Triple-A and lower levels,Average plate appearances per game
1997,16,475,Alex Steele,Outfield,Tigers,SUNY-Cortland,22,12/09/75,Right,Right,College,No,Short-Season, , , ,Yes,72,294,Yes,23,486,Yes,105,381, , , , , , ,No,4,200,1161,72,294,95,780,200,1161,200,1161,200,1161,5.81
1996,5,133,Philp Kendall,Catcher,Brewers,Jasper HS (IN),19,08/22/77,Right,Right,High School,No,Rookie,Yes,16,77, , , ,Yes,27,152,Yes,18,103, , , , , , ,No,4,61,332,16,77,43,229,61,332,61,332,61,332,5.44
1999,43,1293,Nathan Rewers,Second Base,Reds,University of Richmond,23,11/30/76,Switch,Right,College,No,Rookie,Yes,3,16, , , , , , , , , , , , , , , ,No,1,3,16,3,16,3,16,3,16,3,16,3,16,5.33
2001,9,267,David Mattle,Outfield,Tigers,Kent State University,22,12/21/79,Left,Right,College,No,Short-Season, , , ,Yes,40,159,Yes,136,557,Yes,103,756, , , , , , ,No,4,279,1472,40,159,176,716,279,1472,279,1472,279,1472,5.28
1997,1,15,Jason Dellaero,Shortstop,White Sox,University of South Florida,21,12/17/76,Switch,Right,College,Yes,Rookie,Yes,5,16, , , ,Yes,55,208,Yes,175,655,Yes,81,744, , , ,Yes,3,316,1623,5,16,60,224,235,879,316,1623,316,1623,5.14
2003,42,1257,Mitchell Zamojc,Outfield,Twins,U British Columbia (BC),22,12/21/81,Left,Right,College,No,Low-A, , , , , , ,Yes,118,621,Yes,30,108, , , , , , ,No,2,148,729,0,0,118,621,148,729,148,729,148,729,4.93
1999,21,629,Chad Wandall,Shortstop,Twins,Auburn University,23,08/29/76,Right,Right,College,No,Rookie,Yes,65,317, , , , , , , , , , , , , , , ,No,1,65,317,65,317,65,317,65,317,65,317,65,317,4.88
2004,11,325,Joshua Haney,Second Base,Royals,Texas Tech U (TX),22,03/06/82,Right,Right,College,No,Rookie,Yes,5,24, , , , , , , , , , , , , , , ,No,1,5,24,5,24,5,24,5,24,5,24,5,24,4.8
2006,6,193,Zachary Daeges,Third Base,Red Sox,"Creighton U, NE",23,11/16/83,Left,Right,College,No,Short-Season, , , ,Yes,55,239, , , ,Yes,127,614, , , , , , ,Active,2,182,853,55,239,55,239,182,853,182,853,182,853,4.69
1995,1,1,Darin Erstad,Outfield,Angels,University of Nebraska,21,06/04/74,Left,Left,College,Yes,Rookie,Yes,4,19, , , , , , ,Yes,25,119, , , ,Yes,85,395,Yes,2,114,533,4,19,4,19,29,138,29,138,114,533,4.68
2005,1,7,Troy Tulowitzki,Shortstop,Rockies,"Long Beach St, CA",21,10/10/84,Right,Right,College,No,High-A, , , , , , , , , ,Yes,22,105,Yes,104,485, , , ,Yes,2,126,590,0,0,0,0,22,105,126,590,126,590,4.68
2006,36,1092,Alex Fonseca,Shortstop,Angels,"Florida Atlantic U, FL",23,09/13/83,Right,Right,College,No,Rookie,Yes,36,168, , , , , , , , , , , , , , , ,No,1,36,168,36,168,36,168,36,168,36,168,36,168,4.67
2006,1,17,Matthew Antonell,Third Base,Padres,"Wake Forest U, NC",21,04/08/85,Right,Right,College,Yes,Short-Season, , , ,Yes,55,245,Yes,5,18,Yes,82,406,Yes,49,223, , , ,Active,2,191,892,55,245,60,263,142,669,191,892,191,892,4.67
1998,18,528,Esix Snead,Outfield,Cardinals,University of Central Florida,22,06/07/76,Switch,Right,College,No,Short-Season, , , ,Yes,58,226,Yes,59,216,Yes,119,846,Yes,258,1010, , , ,Yes,5,494,2298,58,226,117,442,236,1288,494,2298,494,2298,4.65
2005,1,21,Clifton Penningt,Shortstop,Athletics,"Texas A&M U, TX",21,06/15/84,Switch,Right,College,No,Low-A,Yes,9,32, , , ,Yes,69,334,Yes,114,535,Yes,70,314, , , ,Active,3,262,1215,9,32,78,366,192,901,262,1215,262,1215,4.64
1996,20,604,Jamie Ebling,Second Base,Devil Ray,Florida Southern College,22,01/29/74,Right,Right,College,No,Rookie,Yes,50,232, , , , , , , , , , , , , , , ,No,1,50,232,50,232,50,232,50,232,50,232,50,232,4.64
